"Region","Wine","Vintage","Size","GBP","IB"
"Alsace","Trimbach, Riesling Clos St Hune","2004","12x75","£3,900","IB"
"aus","Chris Ringland, Hoffmann Shiraz, Barossa Valley","2007","6x75","£2,550","IB"
"aus","Penfolds, Grange, South Australia","2014","6x75","£2,025","IB"
"aus","Penfolds, Grange, South Australia","2011","6x75","£2,395","IB"
"aus","Penfolds, Grange, South Australia","2009","6x150","£3,950","IB"
"aus","Penfolds, Grange, South Australia","2007","6x75","£2,200","IB"
"aus","Penfolds, Grange, South Australia","2003","6x75","£2,220","IB"
"aus","Penfolds, Grange, South Australia","1998","6x75","£2,350","IB"
"bdxr","Carruades de Lafite, Pauillac","2016","12x75","£3,390","IB"
"bdxr","Carruades de Lafite, Pauillac","2016","12x75","£3,500","IB"
"bdxr","Carruades de Lafite, Pauillac","2009","6x150","£3,290","IB"
"bdxr","Carruades de Lafite, Pauillac","2000","12x75","£3,390","IB"
"bdxr","Chateau Ausone Premier Grand Cru Classe A, Saint-Emilion Grand Cru","2019","6x75","£3,155","IB"
"bdxr","Chateau Ausone Premier Grand Cru Classe A, Saint-Emilion Grand Cru","2004","6x75","£2,440","IB"
"bdxr","Chateau Ausone Premier Grand Cru Classe A, Saint-Emilion Grand Cru","2003","12x75","£7,495","IB"
"bdxr","Chateau Calon Segur 3eme Cru Classe, Saint-Estephe","1990","12x75","£2,030","IB"
"bdxr","Chateau Canon Premier Grand Cru Classe B, Saint-Emilion Grand Cru","2020","6x75","£855","IB"
"bdxr","Chateau Cheval Blanc Premier Grand Cru Classe A, Saint-Emilion Grand Cru","2008","6x75","£2,310","IB"
"bdxr","Chateau Cheval Blanc Premier Grand Cru Classe A, Saint-Emilion Grand Cru","1990","3x75","£3,400","IB"
"bdxr","Chateau Cheval Blanc Premier Grand Cru Classe A, Saint-Emilion Grand Cru","1990","6x75","£6,800","IB"
"bdxr","Chateau Cheval Blanc Premier Grand Cru Classe A, Saint-Emilion Grand Cru","1985","6x75","£3,750","IB"
"bdxr","Chateau Cheval Blanc Premier Grand Cru Classe A, Saint-Emilion Grand Cru","1981","12x75","£5,500","IB"
"bdxr","Chateau Dassault Grand Cru Classe, Saint-Emilion Grand Cru","1957","12x75","£1,870","IB"
"bdxr","Chateau Figeac Premier Grand Cru Classe B, Saint-Emilion Grand Cru","1995","12x75","£2,360","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","2017","3x150","£2,030","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","2012","12x75","£4,060","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","1990","3x75","£2,520","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","1989","1x75","£2,150","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","1989","1x75","£2,180","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","1989","1x75","£2,180","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","1989","1x75","£2,180","IB"
"bdxr","Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan","1983","6x75","£2,130","IB"
"bdxr","Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan","2016","6x75","£1,750","IB"
"bdxr","Chateau La Violette, Pomerol","2009","6x75","£3,800","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","2018","3x150","£4,060","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","2017","6x75","£3,400","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","2016","6x75","£4,160","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","2011","6x150","£6,800","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","2008","12x75","£8,200","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","2006","6x150","","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","1996","6x75","£5,170","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","1996","12x75","£10,750","IB"
"bdxr","Chateau Lafite Rothschild Premier Cru Classe, Pauillac","1990","12x75","£9,800","IB"
